a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Target
4,1,7,0.86607975,5.2495298,-9.2951603,4,473.40799,-0.47712126
4,1,8,0.90567923,4.0227599,-8.56283,4,509.96399,-1
4,1,8,0.85701567,5.2750001,-10.02114,4,519.138,-1.0413927
5,1,7,0.87547803,3.6480601,-7.3915901,4,460.00601,-1.1461281
4,1,7,0.81671274,3.9489999,-8.0471096,4,422.896,-1.1760913
4,1,8,0.92551899,5.5107598,-9.8379498,4,525.33801,-1.1760913
4,1,7,0.85683119,4.539,-8.7813997,4,457.341,-1.1760913
3,1,7,0.84908867,4.072,-6.7175298,2,356.27701,-1.4771212
7,3,9,0.85539001,1.237,-6.4415202,3,471.51801,-1.60206
3,1,7,0.76648527,3.8640001,-7.4294,3,369.513,-1.60206
6,2,8,0.78227299,3.0237401,-6.35256,3,397.45499,-1.6532125
6,2,9,0.79291809,2.6619999,-6.5271802,3,434.47598,-1.7781513
6,2,10,0.7750116,3.7750001,-7.05616,3,462.53,-1.7781513
3,2,7,0.82278007,3.9200001,-6.53403,3,401.87399,-2
4,2,7,0.82192492,3.865,-6.6870098,3,401.87399,-2.3010299
5,1,10,0.79975611,5.47153,-9.0296698,4,511.07001,-2.3010299
6,2,9,0.89364517,2.50576,-5.2056599,2,403.38098,-2.3010299
4,2,10,0.72775614,4.8210001,-8.4312,3,438.59601,-2.3010299
4,2,8,0.86658484,3.78776,-7.2210798,3,430.41,-2.3010299
4,2,9,0.8614018,1.217,-5.4386201,2,377.38098,-2.3979399
5,0,5,0.77612799,2.027,-5.2237601,3,357.43399,-2.4771214
4,2,7,0.81653923,4.0419998,-7.2260299,3,410.88498,-2.4771214
4,2,8,0.73424393,4.3299999,-8.27073,3,424.569,-2.5440681
4,1,8,0.73177058,4.29,-7.8572302,3,393.51099,-2.6020601
3,1,6,0.96932447,3.24176,-6.4594402,2,379.76498,-2.6989701
3,1,1,0.74873304,2.5409999,-5.42097,4,310.349,-1.3944517
3,0,2,0.76509219,3.654,-6.0316801,4,338.35898,-1.3242824
3,0,0,0.71954739,3.5480001,-5.8845701,4,296.366,-2.3554516
2,0,0,0.74724931,3.49,-6.6496401,4,276.29099,-1.587711
3,0,0,0.74087614,3.29,-5.32969,4,278.30701,-1.1583625
2,0,1,0.68025565,4.3130002,-6.6034298,3,282.383,-1.3242824
2,0,5,1.0908663,5.1847601,-7.61549,2,459.18399,0.52287877
4,0,8,1.0519773,7.4427199,-10.01919,2,565.03998,0.045757491
4,2,2,0.91823238,0.39899999,-3.3413401,2,284.72699,-0.77815127
2,0,4,1.0254227,4.2547598,-5.9305,2,365.715,-1.0791812
4,0,4,0.85291171,2.075,-4.01757,2,317.32498,-1.1139433
4,0,4,0.83573818,2.3729999,-4.4914899,2,331.35199,-1.1139433
3,0,3,0.9766888,2.674,-4.2603598,2,314.70499,-1.1760913
5,3,3,1.1369123,3.793,-5.13766,2,436.07599,-1.20412
5,2,4,0.82898587,2.2839999,-3.6310999,2,304.32199,-1.20412
2,0,4,0.93206644,2.628,-4.9298902,2,308.26999,-1.39794
